user_hash,segment,total_pre_kwh
0001b3b2f18c01c62ed9b2a87de7b4e33e7836f786f7904471d8866978405c1b,0,3559.974
0003de2700e20a1681d69fe287441d9041407a7698d5c86cf37373e5fb3dd7bb,0,4737.432000000001
000721f0fc6ccf02ae24b67393979513171f2abc119af07a7abed20ca303b665,0,2589.9155
0009b156f2a1213a137c150f4787150384938eac15cc2044a10c797d98667a91,2,5270.4535
000da4922a91b9895f9f871225d8e3b9a1bbd51c3a29100b14864b75f0188534,1,24.674500000000005
001be27fc1f3e2daa58919a9de02e9e1b4a2ffb0fc8ebe2acb747f52a30acf32,2,7520.290499999999
00264d835371489e86312529d5e5aa786f8c92faa96da2329dd4ccf526855527,2,1718.0625
002da62dc54b7a789473182feddfad7c185a94608196e9169bf61a17a90e6915,2,2561.9535
00360f8639d63be18f35bf7181f155f69bf176003b5ee3916ea427c508085a35,2,5853.356999999999
00489151865c9806ea977413603cc72b8bc27ff57350e878fcbedcb4d69317b1,0,2603.6475
004a149b06c038586f30361ac6f16adb2ee32aee5f80784a4bda6a257814a9a4,0,3184.325
0050b980111bad9422575db977d18199b5426cfa491073e4be3efa1acb1aa136,2,1409.6225
0051177c9c0ec5ba203990395f5e785e9e913321576aed98d30b9ccab17d5823,0,3781.164
0052816ff7fcdf2a35953c34f9f2ea4c127623533e3274ce46bf0a7c3956f1ac,0,288.40150000000006
005932ecd8e0888863372c2ca998801ea6a7f2fef1e9dde0035d5c68c92bc145,0,3048.66
005b44a54261c2606e2c5c9a1e8ff47c933f023d59cb171c0df08cea878403bf,0,1677.1585
005e34f194141e43c7d90738e0d76a38f074f5afb8daf2540023f38851a85ac2,0,2573.929
0062c8d5ca7dfed574aab968f665978a9cb770a0d8f325cdfc741d3cd6f60cb1,0,1335.0505000000003
0067b311ec68f049e201a31e5f05c9815bf13729ff3ade7c22fc2a32284d2705,0,1472.2305000000001
00688d15088ce2e0fcb251e2cad627a0b1bd2f2d5c462c9fb28cd22449cbc8db,0,6646.047500000001
00740539bc141a16321919f2a16b6c364a38047b84bb982cf9165dc604fab931,0,1806.5927500000003
008189c1cb058a65a847a3e917fb77cff50abc30486b6e330131a09ce1a1a80f,0,3819.8425
008991fb296b8cd6a34324ef4e67b8d5244048a602418cc9c7e7982660d34a11,1,9770.087
008f8be49dddddb880a77d243bc24d74ac00557bac68a6a7bc24ca6cc484731e,0,1653.847
0093f0f5f552471964e924c74d2d163fc47842fd5ac7d6519bc1ef705e478017,2,6984.7885
00983b85e8be33dbe113890de6f1e1566d7fa82a3562a7cc986e4075d3287a39,0,5676.3215
009d5a80c53ac2b2da3ba7419dacf6e22de58c96ce67f8ad3646f16340f1bff1,0,1884.419
009da9fed0568a951cc84f73a2daaccc3515c4bab1153393b40e1f520e4de64b,1,8888.626499999998
00a1614dc0e671ec0ee50aa63f15a9018417717d3e000e2757966dadc0ae1f9c,2,3084.3385
00a3e40e4b2e270f037660791016399b73ca116df989ea7fa640b9097247d2bb,0,2264.85
00ace226e25ab036833cf6d4546aff0e9e7f47514af0c7804a5b04cb27e0f940,2,4885.778166666667
00afe36f1b78e683be4ca713b50860920a18a1f0df2a6bf3a126d6f412abdce8,0,951.6569999999999
00b1b22bceeb8b1bc4f837ac1a0a3df3078728d284e39d596c59b8150b9d5c16,0,7449.3305
00b1bbe1d82e9e1b5d4a1ae1dacd3ffa0e9191de495167f9bcf08e7003f77d15,1,3778.0919999999996
00b4d78ec0b3335fca95369ec6a6d9e882c5ffaea59ea07ed31337a327f4ecca,2,3322.0795
00b655f77a0bf8c12323560fa1cd609548ab10782e495b2c63b2c1c56c537305,0,1831.8215
00ce89cae9f1cbd055f58f14f5953f9eda89f1aa7cc92061f566377c101c8663,2,3954.629
00d37f24e699dbb982298a5d40c48cc47461c006e778f608b018898820944533,2,1667.4105000000002
00db2f868b1075624b10684c1bbade33552a0490b27e01d911d7f702f6ca463d,0,4632.685
00dcd8d903f75e1f22baa037a7a3ab0fd9bc883614a00ca930381704f7e5d31d,0,3402.8665
00e344d941efbfcc1c77e1dd5001d095c2f65419ebc782e1405653a9ca7b235b,0,1121.8880000000001
00e344f971f3d9e4d59ee27b8877867d01b804271dda86cd1cbf657f8ef18f54,0,3924.1079999999997
00f65dfea3154759e9d144ff1af16082da775db7c80f83ad4b8951d066722363,0,2926.0355
00f7189c9ec7fbcbbe81afa96130bfdf48c785ae06be1191ceac99a88724d8ca,2,2536.782
01053a37402ef65396a772098fc253a9297f25ae54574f9009bdb9f3f37f5bdb,0,4312.469
01074cf47884dc6d89b1ac89fa8d6b653b864659426f3706e22268311dac3c83,1,3940.7250000000004
01121b575bfd5ed17ca6194198d37ec8cba324fb953598a9b167799df295c557,0,1519.5575
011375df76f7dd9c6e3efd7db6d1d83c4742c8b9dd27c4b80bc21cc29491c784,2,2943.6385
0114258568d7d465e28b4e58e7327141653185b16e0da0cfe7296421117b1fc3,0,4514.9535
0119a1ba86a11a6b0e060d15ef6866f116d513d47cb551d0617bc3fc441236db,0,6023.2705000000005
011d9e64d113df6599990cee76348bf30e739cdd10049769cfdbd36d75c00fd5,0,4881.157
012be362021dfaff2ae2ad9391657a0d344315a5ef4fffda6e6e9e6d25e211ba,0,1945.238
0134e581bd866a6e284656d3938c9d21db82290cc74c6ee69a0b9be607f08479,2,1560.878
013534f14bc222adf7625b2d118bc05185337f04885e688f9f11d71843042cc0,2,8153.1205
014516e8d5cc934526d553cecdde999b7e8c9c42e48779bece9293d10e8b40e0,1,18371.648
0145a8c107889554878179f7a0ce452dcaffb5cf5428d7c8ea279082bbefd976,0,1658.1175
0157ccc02bc7d96d5972685c6c1050a65495d813dede780282525e1cd66f1e63,0,1489.807
015efff33e90b5ea09c3d83ee38f10fa3422c7f6fc872399f8227895631a2aa4,2,378.2975
01624eb4da09be5bc8e171658bb2a269e4f800d956cf4a67fda174e7e664c595,0,6663.635
017300e2fd83090ac90bcd222edaaa7aa2822b2610166f2132c2ad97b9b92ab1,2,5050.9905
01746e006a98e4645cc5befc286757dbcb33cb64e438f49b1b4a7919c970e3b0,0,12315.428
018691ce738b789921141c0a480a61dd2d44c1e4585e83a4c092a80a934ebe16,2,6100.6575
018e50c6e1078b5cc2d18a94e4f540165d9fdd0195a04f8a199f978c4dc0d160,2,4510.532
018fa8df0d78c310e1b156ebd22d869e72044207230ba2fb02613d5b816a8c24,2,9125.098999999998
