issue_time,level,quantile,iterations_used,n_train,n_valid,n_train_full,refit_full
2020-06-22,portfolio,0.05,253,8039,720,8759,True
2020-06-22,portfolio,0.25,1764,8039,720,8759,True
2020-06-22,portfolio,0.5,2476,8039,720,8759,True
2020-06-22,portfolio,0.75,352,8039,720,8759,True
2020-06-22,portfolio,0.95,412,8039,720,8759,True
2020-06-29,portfolio,0.05,264,8039,720,8759,True
2020-06-29,portfolio,0.25,1810,8039,720,8759,True
2020-06-29,portfolio,0.5,2495,8039,720,8759,True
2020-06-29,portfolio,0.75,890,8039,720,8759,True
2020-06-29,portfolio,0.95,226,8039,720,8759,True
2020-07-06,portfolio,0.05,299,8039,720,8759,True
2020-07-06,portfolio,0.25,490,8039,720,8759,True
2020-07-06,portfolio,0.5,2499,8039,720,8759,True
2020-07-06,portfolio,0.75,861,8039,720,8759,True
2020-07-06,portfolio,0.95,628,8039,720,8759,True
2020-07-13,portfolio,0.05,143,8039,720,8759,True
2020-07-13,portfolio,0.25,142,8039,720,8759,True
2020-07-13,portfolio,0.5,2488,8039,720,8759,True
2020-07-13,portfolio,0.75,2071,8039,720,8759,True
2020-07-13,portfolio,0.95,463,8039,720,8759,True
2020-07-20,portfolio,0.05,306,8039,720,8759,True
2020-07-20,portfolio,0.25,1391,8039,720,8759,True
2020-07-20,portfolio,0.5,955,8039,720,8759,True
2020-07-20,portfolio,0.75,498,8039,720,8759,True
2020-07-20,portfolio,0.95,413,8039,720,8759,True
2020-07-27,portfolio,0.05,705,8039,720,8759,True
2020-07-27,portfolio,0.25,989,8039,720,8759,True
2020-07-27,portfolio,0.5,643,8039,720,8759,True
2020-07-27,portfolio,0.75,288,8039,720,8759,True
2020-07-27,portfolio,0.95,287,8039,720,8759,True
2020-08-03,portfolio,0.05,274,8039,720,8759,True
2020-08-03,portfolio,0.25,292,8039,720,8759,True
2020-08-03,portfolio,0.5,2494,8039,720,8759,True
2020-08-03,portfolio,0.75,1343,8039,720,8759,True
2020-08-03,portfolio,0.95,524,8039,720,8759,True
2020-08-10,portfolio,0.05,369,8039,720,8759,True
2020-08-10,portfolio,0.25,872,8039,720,8759,True
2020-08-10,portfolio,0.5,2152,8039,720,8759,True
2020-08-10,portfolio,0.75,687,8039,720,8759,True
2020-08-10,portfolio,0.95,167,8039,720,8759,True
2020-08-17,portfolio,0.05,127,8039,720,8759,True
2020-08-17,portfolio,0.25,108,8039,720,8759,True
2020-08-17,portfolio,0.5,2494,8039,720,8759,True
2020-08-17,portfolio,0.75,2178,8039,720,8759,True
2020-08-17,portfolio,0.95,194,8039,720,8759,True
2020-08-24,portfolio,0.05,115,8039,720,8759,True
2020-08-24,portfolio,0.25,58,8039,720,8759,True
2020-08-24,portfolio,0.5,958,8039,720,8759,True
2020-08-24,portfolio,0.75,2500,8039,720,8759,True
2020-08-24,portfolio,0.95,1614,8039,720,8759,True
2020-08-31,portfolio,0.05,119,8039,720,8759,True
2020-08-31,portfolio,0.25,97,8039,720,8759,True
2020-08-31,portfolio,0.5,343,8039,720,8759,True
2020-08-31,portfolio,0.75,2482,8039,720,8759,True
2020-08-31,portfolio,0.95,1584,8039,720,8759,True
2020-09-07,portfolio,0.05,264,8039,720,8759,True
2020-09-07,portfolio,0.25,423,8039,720,8759,True
2020-09-07,portfolio,0.5,1960,8039,720,8759,True
2020-09-07,portfolio,0.75,899,8039,720,8759,True
2020-09-07,portfolio,0.95,410,8039,720,8759,True
2020-09-14,portfolio,0.05,202,8039,720,8759,True
2020-09-14,portfolio,0.25,827,8039,720,8759,True
2020-09-14,portfolio,0.5,1911,8039,720,8759,True
2020-09-14,portfolio,0.75,334,8039,720,8759,True
2020-09-14,portfolio,0.95,248,8039,720,8759,True
2020-09-21,portfolio,0.05,293,8039,720,8759,True
2020-09-21,portfolio,0.25,1820,8039,720,8759,True
2020-09-21,portfolio,0.5,1719,8039,720,8759,True
2020-09-21,portfolio,0.75,936,8039,720,8759,True
2020-09-21,portfolio,0.95,124,8039,720,8759,True
2020-09-28,portfolio,0.05,230,8039,720,8759,True
2020-09-28,portfolio,0.25,1279,8039,720,8759,True
2020-09-28,portfolio,0.5,2480,8039,720,8759,True
2020-09-28,portfolio,0.75,675,8039,720,8759,True
2020-09-28,portfolio,0.95,124,8039,720,8759,True
2020-10-05,portfolio,0.05,461,8039,720,8759,True
2020-10-05,portfolio,0.25,1771,8039,720,8759,True
2020-10-05,portfolio,0.5,2470,8039,720,8759,True
2020-10-05,portfolio,0.75,456,8039,720,8759,True
2020-10-05,portfolio,0.95,184,8039,720,8759,True
2020-10-12,portfolio,0.05,346,8039,720,8759,True
2020-10-12,portfolio,0.25,1150,8039,720,8759,True
2020-10-12,portfolio,0.5,2495,8039,720,8759,True
2020-10-12,portfolio,0.75,412,8039,720,8759,True
2020-10-12,portfolio,0.95,223,8039,720,8759,True
2020-10-19,portfolio,0.05,520,8039,720,8759,True
2020-10-19,portfolio,0.25,435,8039,720,8759,True
2020-10-19,portfolio,0.5,2500,8039,720,8759,True
2020-10-19,portfolio,0.75,634,8039,720,8759,True
2020-10-19,portfolio,0.95,471,8039,720,8759,True
2020-10-26,portfolio,0.05,843,8039,720,8759,True
2020-10-26,portfolio,0.25,2500,8039,720,8759,True
2020-10-26,portfolio,0.5,2413,8039,720,8759,True
2020-10-26,portfolio,0.75,360,8039,720,8759,True
2020-10-26,portfolio,0.95,232,8039,720,8759,True
2020-11-02,portfolio,0.05,198,8039,720,8759,True
2020-11-02,portfolio,0.25,2484,8039,720,8759,True
2020-11-02,portfolio,0.5,2500,8039,720,8759,True
2020-11-02,portfolio,0.75,875,8039,720,8759,True
2020-11-02,portfolio,0.95,191,8039,720,8759,True
2020-11-09,portfolio,0.05,249,8039,720,8759,True
2020-11-09,portfolio,0.25,240,8039,720,8759,True
2020-11-09,portfolio,0.5,1192,8039,720,8759,True
2020-11-09,portfolio,0.75,447,8039,720,8759,True
2020-11-09,portfolio,0.95,177,8039,720,8759,True
2020-11-16,portfolio,0.05,266,8039,720,8759,True
2020-11-16,portfolio,0.25,1020,8039,720,8759,True
2020-11-16,portfolio,0.5,347,8039,720,8759,True
2020-11-16,portfolio,0.75,333,8039,720,8759,True
2020-11-16,portfolio,0.95,147,8039,720,8759,True
2020-11-23,portfolio,0.05,657,8039,720,8759,True
2020-11-23,portfolio,0.25,1445,8039,720,8759,True
2020-11-23,portfolio,0.5,486,8039,720,8759,True
2020-11-23,portfolio,0.75,120,8039,720,8759,True
2020-11-23,portfolio,0.95,121,8039,720,8759,True
2020-11-30,portfolio,0.05,973,8039,720,8759,True
2020-11-30,portfolio,0.25,2470,8039,720,8759,True
2020-11-30,portfolio,0.5,595,8039,720,8759,True
2020-11-30,portfolio,0.75,133,8039,720,8759,True
2020-11-30,portfolio,0.95,132,8039,720,8759,True
2020-12-07,portfolio,0.05,773,8039,720,8759,True
2020-12-07,portfolio,0.25,2500,8039,720,8759,True
2020-12-07,portfolio,0.5,705,8039,720,8759,True
2020-12-07,portfolio,0.75,142,8039,720,8759,True
2020-12-07,portfolio,0.95,104,8039,720,8759,True
2020-12-14,portfolio,0.05,2478,8039,720,8759,True
2020-12-14,portfolio,0.25,2358,8039,720,8759,True
2020-12-14,portfolio,0.5,780,8039,720,8759,True
2020-12-14,portfolio,0.75,156,8039,720,8759,True
2020-12-14,portfolio,0.95,96,8039,720,8759,True
2020-12-21,portfolio,0.05,423,8039,720,8759,True
2020-12-21,portfolio,0.25,1344,8039,720,8759,True
2020-12-21,portfolio,0.5,521,8039,720,8759,True
2020-12-21,portfolio,0.75,332,8039,720,8759,True
2020-12-21,portfolio,0.95,90,8039,720,8759,True
2020-12-28,portfolio,0.05,245,8039,720,8759,True
2020-12-28,portfolio,0.25,858,8039,720,8759,True
2020-12-28,portfolio,0.5,1395,8039,720,8759,True
2020-12-28,portfolio,0.75,530,8039,720,8759,True
2020-12-28,portfolio,0.95,146,8039,720,8759,True
2021-01-04,portfolio,0.05,390,8039,720,8759,True
2021-01-04,portfolio,0.25,377,8039,720,8759,True
2021-01-04,portfolio,0.5,1049,8039,720,8759,True
2021-01-04,portfolio,0.75,226,8039,720,8759,True
2021-01-04,portfolio,0.95,87,8039,720,8759,True
2021-01-11,portfolio,0.05,326,8039,720,8759,True
2021-01-11,portfolio,0.25,377,8039,720,8759,True
2021-01-11,portfolio,0.5,1772,8039,720,8759,True
2021-01-11,portfolio,0.75,387,8039,720,8759,True
2021-01-11,portfolio,0.95,145,8039,720,8759,True
2021-01-18,portfolio,0.05,728,8039,720,8759,True
2021-01-18,portfolio,0.25,1117,8039,720,8759,True
2021-01-18,portfolio,0.5,2015,8039,720,8759,True
2021-01-18,portfolio,0.75,171,8039,720,8759,True
2021-01-18,portfolio,0.95,119,8039,720,8759,True
2021-01-25,portfolio,0.05,416,8039,720,8759,True
2021-01-25,portfolio,0.25,1815,8039,720,8759,True
2021-01-25,portfolio,0.5,1326,8039,720,8759,True
2021-01-25,portfolio,0.75,593,8039,720,8759,True
2021-01-25,portfolio,0.95,352,8039,720,8759,True
2021-02-01,portfolio,0.05,529,8039,720,8759,True
2021-02-01,portfolio,0.25,2500,8039,720,8759,True
2021-02-01,portfolio,0.5,956,8039,720,8759,True
2021-02-01,portfolio,0.75,171,8039,720,8759,True
2021-02-01,portfolio,0.95,134,8039,720,8759,True
2021-02-08,portfolio,0.05,193,8039,720,8759,True
2021-02-08,portfolio,0.25,301,8039,720,8759,True
2021-02-08,portfolio,0.5,2500,8039,720,8759,True
2021-02-08,portfolio,0.75,1141,8039,720,8759,True
