bucket,level,model,quantile,n,mape,rmse,smape,pinball,coverage_rate
h<=24,portfolio,lightgbm,0.05,2448,0.06993956936065956,293.8677602919327,0.07497301069218681,31.213940423061263,
h<=24,portfolio,lightgbm,0.25,2448,0.04904129571047029,184.3962874232628,0.049302451430371076,57.487622690262725,
h<=24,portfolio,lightgbm,0.5,2448,0.048773975832560136,176.21307079663706,0.047741309356580754,58.79022191561022,
h<=24,portfolio,lightgbm,0.75,2448,0.05641494676534954,195.6856088495051,0.05403411293646171,47.09252511604654,
h<=24,portfolio,lightgbm,0.95,2448,0.08579412146234126,269.94423113721746,0.08002292562947498,21.451231717046202,
h<=24,portfolio,lightgbm_coverage,50%,2448,,,,,0.22099673202614378
h<=24,portfolio,lightgbm_coverage,90%,2448,,,,,0.5379901960784313
h<=24,portfolio,persistence,,2448,0.06932029826890064,260.92428548450584,0.06859202089857636,,
h<=24,portfolio,sarimax,,2448,0.13382683643540663,399.43477983996183,0.13495132037839816,,
h=25-72,portfolio,lightgbm,0.05,4896,0.06403789987042051,259.9958284554132,0.0671006420503095,38.17192831314309,
h=25-72,portfolio,lightgbm,0.25,4896,0.05185850172898349,189.21065117329294,0.051729084434931225,63.262180926727986,
h=25-72,portfolio,lightgbm,0.5,4896,0.052020023389085214,188.06225075714545,0.050995462827983735,63.5343700268098,
h=25-72,portfolio,lightgbm,0.75,4896,0.05594827072942533,199.17779028530163,0.05398611281976472,50.601051904682954,
h=25-72,portfolio,lightgbm,0.95,4896,0.07598284510101923,249.5115158632941,0.0714940258504446,23.52077258992908,
h=25-72,portfolio,lightgbm_coverage,50%,4896,,,,,0.1854575163398693
h=25-72,portfolio,lightgbm_coverage,90%,4896,,,,,0.47549019607843135
h=25-72,portfolio,persistence,,4896,0.06286011861302204,239.98268541046727,0.06225824921528661,,
h=25-72,portfolio,sarimax,,4896,0.17442571906144327,509.00984414961306,0.19249937370119086,,
h=73-168,portfolio,lightgbm,0.05,9768,0.06974493931529616,278.9854375678989,0.07265579208765624,45.38325397576415,
h=73-168,portfolio,lightgbm,0.25,9768,0.06107720770091104,224.15074849531743,0.06072802034649184,74.67596061418463,
h=73-168,portfolio,lightgbm,0.5,9768,0.06255557102333069,226.55308937256103,0.06103417218133478,75.99681305998247,
h=73-168,portfolio,lightgbm,0.75,9768,0.06881859018470506,244.49057415036492,0.06588259111105861,62.068747295205014,
h=73-168,portfolio,lightgbm,0.95,9768,0.09925432714003893,317.9207801644164,0.09145276687444472,28.933902316434203,
h=73-168,portfolio,lightgbm_coverage,50%,9768,,,,,0.17813267813267813
h=73-168,portfolio,lightgbm_coverage,90%,9768,,,,,0.4736895986895987
h=73-168,portfolio,persistence,,9768,0.07107384201440503,266.4773796003762,0.07038470122830942,,
h=73-168,portfolio,sarimax,,9768,0.23107729110240952,628.248527443513,0.2190481400630005,,
h=1,portfolio,lightgbm,0.05,102,0.03911911672055153,92.5069524089542,0.03972696110903093,21.700975734569298,
h=1,portfolio,lightgbm,0.25,102,0.0287213540222812,69.61555678601539,0.028558465484273196,28.14245117661594,
h=1,portfolio,lightgbm,0.5,102,0.03577170081738584,89.02700097191979,0.03505146937570374,33.738194224508014,
h=1,portfolio,lightgbm,0.75,102,0.04595426530822693,118.02254500316484,0.0444361989689304,25.831792360060877,
h=1,portfolio,lightgbm,0.95,102,0.07521511866474831,179.59500424324196,0.0713822538292563,7.756908314040036,
h=1,portfolio,lightgbm_coverage,50%,102,,,,,0.3431372549019608
h=1,portfolio,lightgbm_coverage,90%,102,,,,,0.6176470588235294
h=1,portfolio,persistence,,102,0.05234981628414621,143.2508780793981,0.05219970123888178,,
h=1,portfolio,sarimax,,102,0.16834981117073838,319.6120513923636,0.1541383329203016,,
h=24,portfolio,lightgbm,0.05,102,0.02956101786375444,93.032505098961,0.029329831744411096,41.00244310084634,
h=24,portfolio,lightgbm,0.25,102,0.03506773365609193,106.48848632864907,0.03416282237618232,55.53052869656691,
h=24,portfolio,lightgbm,0.5,102,0.04021292277114372,115.80548495052813,0.038987630830347265,46.10625109325824,
h=24,portfolio,lightgbm,0.75,102,0.05252951216737925,146.535466757998,0.05041922060791594,31.257811753907657,
h=24,portfolio,lightgbm,0.95,102,0.10145729077683983,271.2312662523454,0.09494887332348506,12.17217626801808,
h=24,portfolio,lightgbm_coverage,50%,102,,,,,0.11764705882352941
