level,model,quantile,horizon_h,issue_time,target_time,y_pred,y_actual
portfolio,persistence,,1,2020-06-22,2020-06-22 01:00:00,1888.3010000000004,1899.8200000000018
portfolio,persistence,,2,2020-06-22,2020-06-22 02:00:00,1498.0194999999983,1535.972000000001
portfolio,persistence,,3,2020-06-22,2020-06-22 03:00:00,1300.1355000000003,1331.2084999999986
portfolio,persistence,,4,2020-06-22,2020-06-22 04:00:00,1212.594999999999,1241.1575000000007
portfolio,persistence,,5,2020-06-22,2020-06-22 05:00:00,1189.5435000000011,1217.7654999999997
portfolio,persistence,,6,2020-06-22,2020-06-22 06:00:00,1229.4279999999983,1275.2329999999995
portfolio,persistence,,7,2020-06-22,2020-06-22 07:00:00,1503.4535000000003,1522.0699999999995
portfolio,persistence,,8,2020-06-22,2020-06-22 08:00:00,1974.1809999999994,1969.5369999999987
portfolio,persistence,,9,2020-06-22,2020-06-22 09:00:00,2424.4435000000003,2383.8749999999964
portfolio,persistence,,10,2020-06-22,2020-06-22 10:00:00,2774.7880000000023,2625.2320000000013
portfolio,persistence,,11,2020-06-22,2020-06-22 11:00:00,2834.2065,2679.0524999999984
portfolio,persistence,,12,2020-06-22,2020-06-22 12:00:00,2754.578499999996,2578.0949999999993
portfolio,persistence,,13,2020-06-22,2020-06-22 13:00:00,2711.5769999999957,2528.490499999998
portfolio,persistence,,14,2020-06-22,2020-06-22 14:00:00,3111.264999999995,2856.708999999999
portfolio,persistence,,15,2020-06-22,2020-06-22 15:00:00,3163.621999999998,2941.77
portfolio,persistence,,16,2020-06-22,2020-06-22 16:00:00,2694.5285000000003,2628.887499999997
portfolio,persistence,,17,2020-06-22,2020-06-22 17:00:00,2393.347500000001,2391.0999999999985
portfolio,persistence,,18,2020-06-22,2020-06-22 18:00:00,2217.8630000000003,2190.910500000002
portfolio,persistence,,19,2020-06-22,2020-06-22 19:00:00,2139.3020000000015,2084.047999999997
portfolio,persistence,,20,2020-06-22,2020-06-22 20:00:00,2339.7240000000024,2195.496500000001
portfolio,persistence,,21,2020-06-22,2020-06-22 21:00:00,3174.5565000000006,2810.6374999999966
portfolio,persistence,,22,2020-06-22,2020-06-22 22:00:00,3579.445499999998,3326.646000000001
portfolio,persistence,,23,2020-06-22,2020-06-22 23:00:00,3141.6719999999978,3195.682499999997
