level,bucket,quantile,adjustment,n_cal
portfolio,h<=24,0.05,-128.07192172832373,1224
portfolio,h<=24,0.25,-71.14424469163305,1224
portfolio,h<=24,0.75,6.101609239015829,1224
portfolio,h<=24,0.95,98.04490643019594,1224
portfolio,h=25-72,0.05,-170.10421428292207,2448
portfolio,h=25-72,0.25,-83.31420469233342,2448
portfolio,h=25-72,0.75,25.012096964822376,2448
portfolio,h=25-72,0.95,104.17677997038417,2448
portfolio,h=73-168,0.05,-215.72207317926575,4896
portfolio,h=73-168,0.25,-84.62270277584389,4896
portfolio,h=73-168,0.75,29.460332244657195,4896
portfolio,h=73-168,0.95,120.38550398502514,4896
