level,model,quantile,horizon_h,issue_time,target_time,y_pred,y_actual,pool_bucket,adjustment,y_pred_calibrated
portfolio,lightgbm,0.05,1,2020-06-22,2020-06-22 01:00:00,1864.966679215516,1899.8200000000015,h<=24,-128.07192172832373,1736.8947574871922
portfolio,lightgbm,0.25,1,2020-06-22,2020-06-22 01:00:00,1918.2851500428203,1899.8200000000015,h<=24,-71.14424469163305,1847.1409053511873
portfolio,lightgbm,0.5,1,2020-06-22,2020-06-22 01:00:00,1942.2436622039809,1899.8200000000015,h<=24,0.0,1942.2436622039809
portfolio,lightgbm,0.75,1,2020-06-22,2020-06-22 01:00:00,1975.2912784016023,1899.8200000000015,h<=24,6.101609239015829,1981.392887640618
portfolio,lightgbm,0.95,1,2020-06-22,2020-06-22 01:00:00,1997.3087002595223,1899.8200000000015,h<=24,98.04490643019594,2095.353606689718
portfolio,lightgbm,0.05,2,2020-06-22,2020-06-22 02:00:00,1526.1091439160566,1535.972000000001,h<=24,-128.07192172832373,1398.0372221877328
portfolio,lightgbm,0.25,2,2020-06-22,2020-06-22 02:00:00,1527.7424661742914,1535.972000000001,h<=24,-71.14424469163305,1456.5982214826583
portfolio,lightgbm,0.5,2,2020-06-22,2020-06-22 02:00:00,1555.2089724013565,1535.972000000001,h<=24,0.0,1555.2089724013565
portfolio,lightgbm,0.75,2,2020-06-22,2020-06-22 02:00:00,1578.3291699047527,1535.972000000001,h<=24,6.101609239015829,1584.4307791437686
portfolio,lightgbm,0.95,2,2020-06-22,2020-06-22 02:00:00,1612.1235568455131,1535.972000000001,h<=24,98.04490643019594,1710.168463275709
portfolio,lightgbm,0.05,3,2020-06-22,2020-06-22 03:00:00,1347.8776597918456,1331.2084999999986,h<=24,-128.07192172832373,1219.8057380635219
portfolio,lightgbm,0.25,3,2020-06-22,2020-06-22 03:00:00,1340.7753779551851,1331.2084999999986,h<=24,-71.14424469163305,1269.631133263552
portfolio,lightgbm,0.5,3,2020-06-22,2020-06-22 03:00:00,1364.5886602088874,1331.2084999999986,h<=24,0.0,1364.5886602088874
portfolio,lightgbm,0.75,3,2020-06-22,2020-06-22 03:00:00,1372.3444206082188,1331.2084999999986,h<=24,6.101609239015829,1378.4460298472345
portfolio,lightgbm,0.95,3,2020-06-22,2020-06-22 03:00:00,1382.8610836598823,1331.2084999999986,h<=24,98.04490643019594,1480.9059900900781
portfolio,lightgbm,0.05,4,2020-06-22,2020-06-22 04:00:00,1266.8007561834672,1241.1575000000007,h<=24,-128.07192172832373,1138.7288344551434
portfolio,lightgbm,0.25,4,2020-06-22,2020-06-22 04:00:00,1273.3587852659562,1241.1575000000007,h<=24,-71.14424469163305,1202.214540574323
portfolio,lightgbm,0.5,4,2020-06-22,2020-06-22 04:00:00,1281.5526722084785,1241.1575000000007,h<=24,0.0,1281.5526722084785
portfolio,lightgbm,0.75,4,2020-06-22,2020-06-22 04:00:00,1314.1298249239246,1241.1575000000007,h<=24,6.101609239015829,1320.2314341629403
portfolio,lightgbm,0.95,4,2020-06-22,2020-06-22 04:00:00,1309.07798022166,1241.1575000000007,h<=24,98.04490643019594,1407.1228866518559
portfolio,lightgbm,0.05,5,2020-06-22,2020-06-22 05:00:00,1212.2711203920926,1217.7654999999995,h<=24,-128.07192172832373,1084.1991986637688
portfolio,lightgbm,0.25,5,2020-06-22,2020-06-22 05:00:00,1225.480651136907,1217.7654999999995,h<=24,-71.14424469163305,1154.336406445274
portfolio,lightgbm,0.5,5,2020-06-22,2020-06-22 05:00:00,1224.871707858278,1217.7654999999995,h<=24,0.0,1224.871707858278
portfolio,lightgbm,0.75,5,2020-06-22,2020-06-22 05:00:00,1256.143334630454,1217.7654999999995,h<=24,6.101609239015829,1262.2449438694698
portfolio,lightgbm,0.95,5,2020-06-22,2020-06-22 05:00:00,1268.2037969221292,1217.7654999999995,h<=24,98.04490643019594,1366.248703352325
portfolio,lightgbm,0.05,6,2020-06-22,2020-06-22 06:00:00,1237.6996186161716,1275.2329999999995,h<=24,-128.07192172832373,1109.6276968878478
portfolio,lightgbm,0.25,6,2020-06-22,2020-06-22 06:00:00,1251.167661904743,1275.2329999999995,h<=24,-71.14424469163305,1180.02341721311
portfolio,lightgbm,0.5,6,2020-06-22,2020-06-22 06:00:00,1260.1173050878876,1275.2329999999995,h<=24,0.0,1260.1173050878876
portfolio,lightgbm,0.75,6,2020-06-22,2020-06-22 06:00:00,1297.1387117577246,1275.2329999999995,h<=24,6.101609239015829,1303.2403209967406
portfolio,lightgbm,0.95,6,2020-06-22,2020-06-22 06:00:00,1288.4598204565564,1275.2329999999995,h<=24,98.04490643019594,1386.5047268867522
portfolio,lightgbm,0.05,7,2020-06-22,2020-06-22 07:00:00,1403.3221532923253,1522.0699999999997,h<=24,-128.07192172832373,1275.2502315640015
portfolio,lightgbm,0.25,7,2020-06-22,2020-06-22 07:00:00,1476.192068676903,1522.0699999999997,h<=24,-71.14424469163305,1405.04782398527
portfolio,lightgbm,0.5,7,2020-06-22,2020-06-22 07:00:00,1496.2486965822602,1522.0699999999997,h<=24,0.0,1496.2486965822602
portfolio,lightgbm,0.75,7,2020-06-22,2020-06-22 07:00:00,1514.4272891516384,1522.0699999999997,h<=24,6.101609239015829,1520.5288983906544
portfolio,lightgbm,0.95,7,2020-06-22,2020-06-22 07:00:00,1589.5632101308324,1522.0699999999997,h<=24,98.04490643019594,1687.6081165610283
portfolio,lightgbm,0.05,8,2020-06-22,2020-06-22 08:00:00,1614.0389351715246,1969.536999999999,h<=24,-128.07192172832373,1485.9670134432008
portfolio,lightgbm,0.25,8,2020-06-22,2020-06-22 08:00:00,1771.3024652081276,1969.536999999999,h<=24,-71.14424469163305,1700.1582205164946
portfolio,lightgbm,0.5,8,2020-06-22,2020-06-22 08:00:00,1800.6785843443838,1969.536999999999,h<=24,0.0,1800.6785843443838
portfolio,lightgbm,0.75,8,2020-06-22,2020-06-22 08:00:00,1898.30605915216,1969.536999999999,h<=24,6.101609239015829,1904.4076683911758
portfolio,lightgbm,0.95,8,2020-06-22,2020-06-22 08:00:00,1986.2154425232036,1969.536999999999,h<=24,98.04490643019594,2084.2603489533994
portfolio,lightgbm,0.05,9,2020-06-22,2020-06-22 09:00:00,1926.3946683515712,2383.8749999999964,h<=24,-128.07192172832373,1798.3227466232474
