level,quantile,n_train_rows,n_features,best_iteration,training_seconds,model_path
portfolio,0.05,21671,23,300,0.88,lgb_portfolio_q050.txt
portfolio,0.25,21671,23,300,0.9,lgb_portfolio_q250.txt
portfolio,0.5,21671,23,300,0.9,lgb_portfolio_q500.txt
portfolio,0.75,21671,23,300,0.86,lgb_portfolio_q750.txt
portfolio,0.95,21671,23,300,0.85,lgb_portfolio_q950.txt
segment_0,0.05,21671,23,300,0.84,lgb_segment_0_q050.txt
segment_0,0.25,21671,23,300,0.9,lgb_segment_0_q250.txt
segment_0,0.5,21671,23,300,0.92,lgb_segment_0_q500.txt
segment_0,0.75,21671,23,300,0.91,lgb_segment_0_q750.txt
segment_0,0.95,21671,23,300,0.83,lgb_segment_0_q950.txt
segment_1,0.05,21671,23,300,0.9,lgb_segment_1_q050.txt
segment_1,0.25,21671,23,300,0.92,lgb_segment_1_q250.txt
segment_1,0.5,21671,23,300,0.9,lgb_segment_1_q500.txt
segment_1,0.75,21671,23,300,0.91,lgb_segment_1_q750.txt
segment_1,0.95,21671,23,300,0.87,lgb_segment_1_q950.txt
segment_2,0.05,21671,23,300,1.1,lgb_segment_2_q050.txt
segment_2,0.25,21671,23,300,1.41,lgb_segment_2_q250.txt
segment_2,0.5,21671,23,300,1.49,lgb_segment_2_q500.txt
segment_2,0.75,21671,23,300,1.39,lgb_segment_2_q750.txt
segment_2,0.95,21671,23,300,1.71,lgb_segment_2_q950.txt
segment_3,0.05,21671,23,300,1.71,lgb_segment_3_q050.txt
segment_3,0.25,21671,23,300,2.18,lgb_segment_3_q250.txt
segment_3,0.5,21671,23,300,2.22,lgb_segment_3_q500.txt
segment_3,0.75,21671,23,300,1.93,lgb_segment_3_q750.txt
segment_3,0.95,21671,23,300,0.95,lgb_segment_3_q950.txt
