bucket,level,model,quantile,n,mape,rmse,smape,pinball,coverage_rate
h<=24,portfolio,lightgbm,0.05,2448,0.08393761011777738,367.4567195994401,0.09164966131434427,25.572892570833645,
h<=24,portfolio,lightgbm,0.25,2448,0.052178094126633,204.30555146802934,0.05313054647153114,56.2829286513063,
h<=24,portfolio,lightgbm,0.5,2448,0.05035288343164275,182.4191539233496,0.049348171802862814,60.89092859904802,
h<=24,portfolio,lightgbm,0.75,2448,0.06199947058883934,209.8483372367919,0.059061921844427205,49.06657304929877,
h<=24,portfolio,lightgbm,0.95,2448,0.1038581328709537,305.001890871026,0.09599530618136275,20.45004731399258,
h<=24,portfolio,lightgbm_coverage,50%,2448,,,,,0.2973856209150327
h<=24,portfolio,lightgbm_coverage,90%,2448,,,,,0.6662581699346405
h<=24,portfolio,persistence,,2448,0.06932029826890064,260.92428548450584,0.06859202089857636,,
h<=24,portfolio,sarimax,,2448,0.13382683643540663,399.43477983996183,0.13495132037839816,,
h<=24,segment_0,lightgbm,0.05,2448,0.1008438975130943,40.82473737210661,0.10723131020474545,4.341925169943417,
h<=24,segment_0,lightgbm,0.25,2448,0.07968672472756079,26.798948946279264,0.07937599275853548,8.492548323554265,
h<=24,segment_0,lightgbm,0.5,2448,0.08718889574511807,26.375718706594164,0.08282923885625797,9.329538126369203,
h<=24,segment_0,lightgbm,0.75,2448,0.11389236467312504,32.97596203507697,0.10352851028525212,7.318293341243918,
h<=24,segment_0,lightgbm,0.95,2448,0.20463132546535368,52.62334096595712,0.17487292549536554,2.799026467433831,
h<=24,segment_0,lightgbm_coverage,50%,2448,,,,,0.3116830065359477
h<=24,segment_0,lightgbm_coverage,90%,2448,,,,,0.6781045751633987
h<=24,segment_0,persistence,,2448,0.12634990091494694,51.614057820931315,0.12317941059239991,,
h<=24,segment_1,lightgbm,0.05,2448,0.10886180457386785,170.428075784329,0.12270367970274172,10.695845242899335,
h<=24,segment_1,lightgbm,0.25,2448,0.07015316293008991,90.21512155206342,0.0717500180149725,23.09503892344034,
h<=24,segment_1,lightgbm,0.5,2448,0.06966627650832395,82.6746532413639,0.06806124087463666,25.702460193853025,
h<=24,segment_1,lightgbm,0.75,2448,0.08611810576782654,92.69383697824591,0.08017721229938857,20.643435425134044,
h<=24,segment_1,lightgbm,0.95,2448,0.16274965249554538,149.31889350631414,0.14283365936955442,8.872924986160529,
h<=24,segment_1,lightgbm_coverage,50%,2448,,,,,0.29697712418300654
h<=24,segment_1,lightgbm_coverage,90%,2448,,,,,0.6711601307189542
h<=24,segment_1,persistence,,2448,0.08497176281082695,112.04553550590168,0.08323432897438399,,
h<=24,segment_2,lightgbm,0.05,2448,0.08570593992932397,108.14348400278278,0.0919431302715072,7.085137487736464,
h<=24,segment_2,lightgbm,0.25,2448,0.050850471352848654,59.875060903236836,0.051604663738271744,16.232146241403807,
h<=24,segment_2,lightgbm,0.5,2448,0.047263195615307715,53.38443016046318,0.04636919121465188,18.316834422097852,
h<=24,segment_2,lightgbm,0.75,2448,0.053278032404796276,57.601414217594176,0.05114336292317469,14.9716403670097,
h<=24,segment_2,lightgbm,0.95,2448,0.08774900816345475,80.78765600521368,0.08166574542128413,6.893044784130026,
h<=24,segment_2,lightgbm_coverage,50%,2448,,,,,0.2908496732026144
h<=24,segment_2,lightgbm_coverage,90%,2448,,,,,0.6981209150326797
h<=24,segment_2,persistence,,2448,0.06874011610234518,82.28661785952676,0.06813474434848595,,
h<=24,segment_3,lightgbm,0.05,2448,0.07731006809981042,90.24207507535095,0.08339284653616776,7.043937723672996,
h<=24,segment_3,lightgbm,0.25,2448,0.04960752632417,49.89462907579232,0.05022709765362956,14.531436252423058,
h<=24,segment_3,lightgbm,0.5,2448,0.05159504198874477,48.086047266099335,0.05044024900876879,16.130483972437236,
h<=24,segment_3,lightgbm,0.75,2448,0.06471604302796567,54.884646536641746,0.06168322250057127,12.846696033173751,
h<=24,segment_3,lightgbm,0.95,2448,0.12011778210267526,92.58605330650343,0.10985859349797046,4.974246215136998,
h<=24,segment_3,lightgbm_coverage,50%,2448,,,,,0.30106209150326796
h<=24,segment_3,lightgbm_coverage,90%,2448,,,,,0.6703431372549019
h<=24,segment_3,persistence,,2448,0.06298903381889287,63.977391288100385,0.062373358509316204,,
h=25-72,portfolio,lightgbm,0.05,4896,0.07501992299677529,326.38748012149586,0.08028849819094207,30.02410873958883,
h=25-72,portfolio,lightgbm,0.25,4896,0.05346891530386439,202.6145949713118,0.053988579652895254,60.28661080347471,
h=25-72,portfolio,lightgbm,0.5,4896,0.05210681304526546,189.39260550914003,0.05121665453703959,63.8174370079904,
h=25-72,portfolio,lightgbm,0.75,4896,0.05868375249390562,206.0560361937265,0.05643412182279176,51.07486563507457,
h=25-72,portfolio,lightgbm,0.95,4896,0.0896989379892528,276.0479516492644,0.08373914424023908,21.63487345633714,
h=25-72,portfolio,lightgbm_coverage,50%,4896,,,,,0.247140522875817
h=25-72,portfolio,lightgbm_coverage,90%,4896,,,,,0.5906862745098039
h=25-72,portfolio,persistence,,4896,0.06286011861302204,239.98268541046727,0.06225824921528661,,
h=25-72,portfolio,sarimax,,4896,0.17442571906144327,509.00984414961306,0.19249937370119086,,
h=25-72,segment_0,lightgbm,0.05,4896,0.1055990417600681,41.58690738892212,0.11121213020849094,5.172025390651311,
h=25-72,segment_0,lightgbm,0.25,4896,0.0891078894330255,30.56081956288889,0.0876505601255386,9.811092524173798,
h=25-72,segment_0,lightgbm,0.5,4896,0.09801879109070101,31.46853684714771,0.09239651573203103,10.694425827053507,
h=25-72,segment_0,lightgbm,0.75,4896,0.11631352397350656,35.48836610567503,0.10579448357779583,8.216307300830927,
h=25-72,segment_0,lightgbm,0.95,4896,0.1930979765953502,50.45652763321527,0.16581645339665504,3.270695314733864,
h=25-72,segment_0,lightgbm_coverage,50%,4896,,,,,0.2790032679738562
h=25-72,segment_0,lightgbm_coverage,90%,4896,,,,,0.622140522875817
h=25-72,segment_0,persistence,,4896,0.12229113957142043,51.06989767733121,0.11884766564457545,,
h=25-72,segment_1,lightgbm,0.05,4896,0.10256289436434361,160.2208254382809,0.11363792163140177,10.728118637529317,
h=25-72,segment_1,lightgbm,0.25,4896,0.06833055903746409,86.96371735467906,0.06956833609860645,22.38743507603098,
h=25-72,segment_1,lightgbm,0.5,4896,0.06727597398280735,78.51474845109526,0.0660867719413096,24.894527159784875,
h=25-72,segment_1,lightgbm,0.75,4896,0.07667991591790661,83.34832782021255,0.07281696366169174,20.685723932416717,
h=25-72,segment_1,lightgbm,0.95,4896,0.12755809758725484,117.03137887370791,0.11516458991688439,9.432073887299543,
h=25-72,segment_1,lightgbm_coverage,50%,4896,,,,,0.2647058823529412
h=25-72,segment_1,lightgbm_coverage,90%,4896,,,,,0.6288807189542484
h=25-72,segment_1,persistence,,4896,0.0766199417813181,99.9116931787291,0.07523067272391168,,
h=25-72,segment_2,lightgbm,0.05,4896,0.06526281825107595,81.0122940760015,0.06844092281313746,7.666786231348676,
h=25-72,segment_2,lightgbm,0.25,4896,0.045222996012110425,52.375398854845486,0.045414390139693034,16.79490778678769,
h=25-72,segment_2,lightgbm,0.5,4896,0.045662638970386187,53.11592228183428,0.04482877424749285,18.559974209010655,
h=25-72,segment_2,lightgbm,0.75,4896,0.051109488010229256,59.80378112936317,0.04926438364909025,14.418745988923265,
h=25-72,segment_2,lightgbm,0.95,4896,0.07427230279162075,77.05477574536367,0.07011447973856097,6.121393394775411,
h=25-72,segment_2,lightgbm_coverage,50%,4896,,,,,0.25919117647058826
h=25-72,segment_2,lightgbm_coverage,90%,4896,,,,,0.6521650326797386
h=25-72,segment_2,persistence,,4896,0.056988304784202845,69.20935193031315,0.05655038502228026,,
h=25-72,segment_3,lightgbm,0.05,4896,0.07107369424152099,86.38909656514655,0.07591603834565915,7.352102885364921,
h=25-72,segment_3,lightgbm,0.25,4896,0.04937878785968136,50.452594506546184,0.049839839375906816,14.692612872289757,
h=25-72,segment_3,lightgbm,0.5,4896,0.05037289972333025,47.971169796897875,0.049470430743699466,16.08248168693598,
h=25-72,segment_3,lightgbm,0.75,4896,0.05842303721785808,51.86978606241328,0.056210013939806715,12.865140573024792,
h=25-72,segment_3,lightgbm,0.95,4896,0.09363778154565328,72.03843000167265,0.0873572384197244,5.550530635298617,
h=25-72,segment_3,lightgbm_coverage,50%,4896,,,,,0.25592320261437906
h=25-72,segment_3,lightgbm_coverage,90%,4896,,,,,0.6247957516339869
h=25-72,segment_3,persistence,,4896,0.05703285014408345,60.93818445874537,0.056475741166853624,,
h=73-168,portfolio,lightgbm,0.05,9768,0.07891682998220483,332.96391246535387,0.0839436131930113,35.1092110533474,
h=73-168,portfolio,lightgbm,0.25,9768,0.061582923807851825,231.8378941028114,0.06190164473580732,70.50560087168294,
h=73-168,portfolio,lightgbm,0.5,9768,0.06287690328592417,227.88493444639803,0.06145449152912161,76.39856390315094,
h=73-168,portfolio,lightgbm,0.75,9768,0.07323558589243129,253.80737345780037,0.06970898017556104,62.54232034214213,
h=73-168,portfolio,lightgbm,0.95,9768,0.11776663701693686,349.36016366521454,0.10724085608165411,26.483504508597704,
h=73-168,portfolio,lightgbm_coverage,50%,9768,,,,,0.2417076167076167
h=73-168,portfolio,lightgbm_coverage,90%,9768,,,,,0.5938779688779688
h=73-168,portfolio,persistence,,9768,0.07107384201440503,266.4773796003762,0.07038470122830942,,
h=73-168,portfolio,sarimax,,9768,0.23107729110240952,628.248527443513,0.2190481400630005,,
h=73-168,segment_0,lightgbm,0.05,9768,0.11613677010512101,46.16478056308957,0.12334096634489597,6.171669979728693,
h=73-168,segment_0,lightgbm,0.25,9768,0.10082967439733909,37.156102975584986,0.09926951547832236,11.950382800091704,
h=73-168,segment_0,lightgbm,0.5,9768,0.11089788274562677,38.99918483324409,0.1045721752083206,12.979637595136738,
h=73-168,segment_0,lightgbm,0.75,9768,0.12990010889124057,42.98652208000277,0.11799582128066757,10.27831635302005,
h=73-168,segment_0,lightgbm,0.95,9768,0.1996989921073062,56.31312525672346,0.17159640802299322,4.358694105712257,
h=73-168,segment_0,lightgbm_coverage,50%,9768,,,,,0.25307125307125306
h=73-168,segment_0,lightgbm_coverage,90%,9768,,,,,0.6023751023751024
h=73-168,segment_0,persistence,,9768,0.13173365792397254,51.70883636989757,0.12883413123486998,,
h=73-168,segment_1,lightgbm,0.05,9768,0.10721657171839855,157.52191347565937,0.11788894780489395,11.239665169753701,
h=73-168,segment_1,lightgbm,0.25,9768,0.07522455088593695,96.25392519672033,0.07612828316820867,25.487920481701828,
h=73-168,segment_1,lightgbm,0.5,9768,0.07572489726031895,91.67811144491056,0.07363907366802504,28.93740871361394,
h=73-168,segment_1,lightgbm,0.75,9768,0.08785320740378844,100.15702821562863,0.08230119922352379,23.91404864245111,
h=73-168,segment_1,lightgbm,0.95,9768,0.15502815460109398,143.81206205503662,0.1366211355980017,10.85510522839371,
h=73-168,segment_1,lightgbm_coverage,50%,9768,,,,,0.26842751842751844
h=73-168,segment_1,lightgbm_coverage,90%,9768,,,,,0.6522317772317773
h=73-168,segment_1,persistence,,9768,0.08418065477870393,107.66996342014396,0.08295344531775677,,
h=73-168,segment_2,lightgbm,0.05,9768,0.06467966362136719,77.4371617251934,0.06739059936814924,10.153485044624102,
h=73-168,segment_2,lightgbm,0.25,9768,0.053053426930145926,59.17987429850608,0.05303031747491765,19.612457679896774,
h=73-168,segment_2,lightgbm,0.5,9768,0.05655189277269358,61.83804059172385,0.05506228363952806,21.438442850838403,
h=73-168,segment_2,lightgbm,0.75,9768,0.06639317483200904,70.75755453046119,0.06324207992871124,16.78211387831707,
h=73-168,segment_2,lightgbm,0.95,9768,0.10810984497610418,100.31503144954134,0.09919172793918145,6.568291339086446,
h=73-168,segment_2,lightgbm_coverage,50%,9768,,,,,0.2459049959049959
h=73-168,segment_2,lightgbm_coverage,90%,9768,,,,,0.6113841113841114
h=73-168,segment_2,persistence,,9768,0.062323580999483354,75.17179033076877,0.061710158411286145,,
h=73-168,segment_3,lightgbm,0.05,9768,0.07607700475340351,88.96001432605655,0.08102644049677712,8.223853194514744,
h=73-168,segment_3,lightgbm,0.25,9768,0.056223038652692514,58.218523140941336,0.05655252772576635,17.51469573889296,
h=73-168,segment_3,lightgbm,0.5,9768,0.05861392186495725,58.05729886142068,0.057352866353071734,19.40987422171759,
h=73-168,segment_3,lightgbm,0.75,9768,0.0676029583487725,63.382332181504445,0.06462936459434544,15.366168040713577,
h=73-168,segment_3,lightgbm,0.95,9768,0.11089728447232247,89.32418398448368,0.10188482437485417,6.584230867414181,
h=73-168,segment_3,lightgbm_coverage,50%,9768,,,,,0.25071662571662573
h=73-168,segment_3,lightgbm_coverage,90%,9768,,,,,0.6410728910728911
h=73-168,segment_3,persistence,,9768,0.06299908577291316,65.7140954282471,0.06258967667289302,,
h=1,portfolio,lightgbm,0.05,102,0.045220688217533736,106.77883847277072,0.04631524369106151,18.021004745986392,
h=1,portfolio,lightgbm,0.25,102,0.03034950731096995,74.08669096906647,0.03038353144455755,26.85357603463724,
h=1,portfolio,lightgbm,0.5,102,0.03713293164545736,93.79088610520412,0.03634496987191273,35.07363637964014,
h=1,portfolio,lightgbm,0.75,102,0.052982975711031895,135.85313895564593,0.05095676635992426,28.955140578090806,
h=1,portfolio,lightgbm,0.95,102,0.09264187075614455,212.93073677368076,0.08719579058518571,9.065070973817273,
h=1,portfolio,lightgbm_coverage,50%,102,,,,,0.4117647058823529
h=1,portfolio,lightgbm_coverage,90%,102,,,,,0.7450980392156863
h=1,portfolio,persistence,,102,0.05234981628414621,143.2508780793981,0.05219970123888178,,
h=1,portfolio,sarimax,,102,0.16834981117073838,319.6120513923636,0.1541383329203016,,
h=1,segment_0,lightgbm,0.05,102,0.1097496984035915,57.591821988761886,0.11932290931103502,2.922216892177582,
h=1,segment_0,lightgbm,0.25,102,0.0620159210308278,31.951456524397912,0.06392788963758958,7.901472867728301,
h=1,segment_0,lightgbm,0.5,102,0.05378772846986934,24.95985241935004,0.05353928812322425,9.07345965621599,
h=1,segment_0,lightgbm,0.75,102,0.06415259455380957,28.566554872637948,0.06202135694684108,8.183438449923631,
h=1,segment_0,lightgbm,0.95,102,0.1024517962172844,40.34819012378987,0.0944606379799323,2.9061352279539925,
h=1,segment_0,lightgbm_coverage,50%,102,,,,,0.3627450980392157
h=1,segment_0,lightgbm_coverage,90%,102,,,,,0.8137254901960784
h=1,segment_0,persistence,,102,0.1268686162391725,63.942504134573866,0.12474244612942756,,
h=1,segment_1,lightgbm,0.05,102,0.0438102371784807,28.088042816834914,0.044847126260645895,4.571511364997162,
h=1,segment_1,lightgbm,0.25,102,0.03199563821434061,19.31251670013511,0.032041807920906724,7.448452119104962,
h=1,segment_1,lightgbm,0.5,102,0.04723183642969863,28.49136363759567,0.0463620777590277,10.83160427522211,
h=1,segment_1,lightgbm,0.75,102,0.06630911617356366,49.853294746825135,0.06206145977296322,8.82841142732445,
h=1,segment_1,lightgbm,0.95,102,0.1343478556366179,90.5289188864766,0.1207869530397476,3.2156464456030736,
h=1,segment_1,lightgbm_coverage,50%,102,,,,,0.30392156862745096
h=1,segment_1,lightgbm_coverage,90%,102,,,,,0.7352941176470589
h=1,segment_1,persistence,,102,0.047734474200761656,31.456125260316277,0.04766341978759545,,
h=1,segment_2,lightgbm,0.05,102,0.03771785966895189,25.52919374372055,0.03857061527590259,4.064931467848974,
h=1,segment_2,lightgbm,0.25,102,0.03141659834284872,20.279091784173026,0.031118792253065637,8.865610510719273,
h=1,segment_2,lightgbm,0.5,102,0.03902035365066736,24.782986735355436,0.03800451802979568,9.842984723140251,
h=1,segment_2,lightgbm,0.75,102,0.056891716526472465,35.1131480404013,0.054631295653978104,7.454692390406779,
h=1,segment_2,lightgbm,0.95,102,0.11686599684728341,68.64428036412187,0.10859722136675368,3.1926014476951448,
h=1,segment_2,lightgbm_coverage,50%,102,,,,,0.38235294117647056
h=1,segment_2,lightgbm_coverage,90%,102,,,,,0.696078431372549
h=1,segment_2,persistence,,102,0.04408790767160099,30.27492546529079,0.04393738041152725,,
h=1,segment_3,lightgbm,0.05,102,0.04672966895565195,35.548823553598076,0.0480173097323341,5.6116736819167174,
h=1,segment_3,lightgbm,0.25,102,0.038677778888530745,28.40290378828165,0.038290076830509966,12.28197140599483,
h=1,segment_3,lightgbm,0.5,102,0.041754219386945526,32.68859192488598,0.04056131323960438,12.003813350419405,
