level,bucket,n,raw_cov50,cal_cov50,raw_cov90,cal_cov90
portfolio,h=1,51,0.5686274509803921,0.7647058823529411,0.7647058823529411,0.9019607843137255
portfolio,h<=24,1224,0.29411764705882354,0.46977124183006536,0.6805555555555556,0.9035947712418301
portfolio,h=24,51,0.17647058823529413,0.49019607843137253,0.5490196078431373,0.8823529411764706
portfolio,h=25-72,2448,0.2426470588235294,0.48447712418300654,0.5943627450980392,0.8933823529411765
portfolio,h=72,51,0.0784313725490196,0.43137254901960786,0.39215686274509803,0.803921568627451
portfolio,h=73-168,4872,0.23419540229885058,0.4930213464696223,0.5853858784893268,0.8918308702791461
portfolio,h=168,50,0.16,0.4,0.44,0.82
segment_0,h=1,51,0.37254901960784315,0.45098039215686275,0.8235294117647058,0.9019607843137255
segment_0,h<=24,1224,0.2973856209150327,0.4534313725490196,0.6544117647058824,0.8709150326797386
segment_0,h=24,51,0.1568627450980392,0.2549019607843137,0.5490196078431373,0.803921568627451
segment_0,h=25-72,2448,0.2675653594771242,0.46282679738562094,0.6111111111111112,0.8901143790849673
segment_0,h=72,51,0.13725490196078433,0.29411764705882354,0.43137254901960786,0.803921568627451
segment_0,h=73-168,4872,0.24302134646962234,0.48419540229885055,0.5845648604269293,0.8873152709359606
segment_0,h=168,50,0.14,0.22,0.36,0.7
segment_1,h=1,51,0.2549019607843137,0.6078431372549019,0.7254901960784313,0.9607843137254902
segment_1,h<=24,1224,0.29330065359477125,0.47630718954248363,0.6748366013071896,0.9076797385620915
segment_1,h=24,51,0.2549019607843137,0.5098039215686274,0.5882352941176471,0.9607843137254902
segment_1,h=25-72,2448,0.2610294117647059,0.5110294117647058,0.627859477124183,0.9056372549019608
segment_1,h=72,51,0.23529411764705882,0.5098039215686274,0.5294117647058824,0.9411764705882353
segment_1,h=73-168,4872,0.2670361247947455,0.4815270935960591,0.6510673234811166,0.8996305418719212
segment_1,h=168,50,0.34,0.48,0.5,0.92
segment_2,h=1,51,0.39215686274509803,0.6666666666666666,0.7058823529411765,0.9215686274509803
segment_2,h<=24,1224,0.27941176470588236,0.47549019607843135,0.6797385620915033,0.8848039215686274
segment_2,h=24,51,0.45098039215686275,0.6666666666666666,0.7647058823529411,0.9411764705882353
segment_2,h=25-72,2448,0.24836601307189543,0.46895424836601307,0.630718954248366,0.8521241830065359
segment_2,h=72,51,0.3333333333333333,0.6862745098039216,0.6078431372549019,0.9019607843137255
segment_2,h=73-168,4872,0.2424055829228243,0.4942528735632184,0.5954433497536946,0.8772577996715928
segment_2,h=168,50,0.24,0.5,0.52,0.96
segment_3,h=1,51,0.23529411764705882,0.3333333333333333,0.6274509803921569,0.8431372549019608
segment_3,h<=24,1224,0.29820261437908496,0.4795751633986928,0.6560457516339869,0.8676470588235294
segment_3,h=24,51,0.29411764705882354,0.47058823529411764,0.6078431372549019,0.9215686274509803
segment_3,h=25-72,2448,0.24877450980392157,0.4820261437908497,0.6168300653594772,0.8897058823529411
segment_3,h=72,51,0.17647058823529413,0.39215686274509803,0.45098039215686275,0.803921568627451
segment_3,h=73-168,4872,0.24753694581280788,0.4981527093596059,0.6416256157635468,0.8967569786535303
segment_3,h=168,50,0.18,0.26,0.46,0.74
ALL,h=1,255,0.36470588235294116,0.5647058823529412,0.7294117647058823,0.9058823529411765
ALL,h<=24,6120,0.29248366013071897,0.47091503267973855,0.6691176470588235,0.8869281045751634
ALL,h=24,255,0.26666666666666666,0.47843137254901963,0.611764705882353,0.9019607843137255
ALL,h=25-72,12240,0.2536764705882353,0.4818627450980392,0.6161764705882353,0.8861928104575163
ALL,h=72,255,0.19215686274509805,0.4627450980392157,0.4823529411764706,0.8509803921568627
ALL,h=73-168,24360,0.24683908045977013,0.4902298850574713,0.6116174055829229,0.8905582922824302
ALL,h=168,250,0.212,0.372,0.456,0.828
