bucket,level,method,n,mape,rmse
h<=24,portfolio,original,2448,0.05035288343164275,182.4191539233496
h<=24,portfolio,bottom_up,2448,0.04596527415619441,167.79710682095262
h<=24,portfolio,mint_ols,2448,0.04887426378841757,177.527339305487
h<=24,segment_0,original,2448,0.08718889574511808,26.375718706594164
h<=24,segment_0,bottom_up,2448,0.08718889574511808,26.375718706594164
h<=24,segment_0,mint_ols,2448,0.10343923288090581,29.677354692332187
h<=24,segment_1,original,2448,0.06966627650832395,82.6746532413639
h<=24,segment_1,bottom_up,2448,0.06966627650832395,82.6746532413639
h<=24,segment_1,mint_ols,2448,0.07173637532788532,83.93905093711076
h<=24,segment_2,original,2448,0.04726319561530772,53.38443016046319
h<=24,segment_2,bottom_up,2448,0.04726319561530772,53.38443016046319
h<=24,segment_2,mint_ols,2448,0.04846676659193974,55.09203747398137
h<=24,segment_3,original,2448,0.05159504198874477,48.086047266099335
h<=24,segment_3,bottom_up,2448,0.05159504198874477,48.086047266099335
h<=24,segment_3,mint_ols,2448,0.05503068674244426,50.708201409268604
h=25-72,portfolio,original,4896,0.05210681304526546,189.39260550914003
h=25-72,portfolio,bottom_up,4896,0.04794110199732744,173.29592376520992
h=25-72,portfolio,mint_ols,4896,0.05060976681667112,184.1869626715745
h=25-72,segment_0,original,4896,0.09801879109070101,31.468536847147707
h=25-72,segment_0,bottom_up,4896,0.09801879109070101,31.468536847147707
h=25-72,segment_0,mint_ols,4896,0.11025416940881844,34.274239108488665
h=25-72,segment_1,original,4896,0.06727597398280735,78.51474845109527
h=25-72,segment_1,bottom_up,4896,0.06727597398280735,78.51474845109527
h=25-72,segment_1,mint_ols,4896,0.06906367759104867,80.25850291902022
h=25-72,segment_2,original,4896,0.045662638970386187,53.11592228183428
h=25-72,segment_2,bottom_up,4896,0.045662638970386187,53.11592228183428
h=25-72,segment_2,mint_ols,4896,0.04719665335824219,55.16487884159854
h=25-72,segment_3,original,4896,0.05037289972333025,47.971169796897875
h=25-72,segment_3,bottom_up,4896,0.05037289972333025,47.971169796897875
h=25-72,segment_3,mint_ols,4896,0.05372239925265613,50.9057389537848
h=73-168,portfolio,original,9768,0.06287690328592418,227.88493444639803
h=73-168,portfolio,bottom_up,9768,0.0586847711975867,210.91277049585884
h=73-168,portfolio,mint_ols,9768,0.06138005809491417,222.5993735053109
h=73-168,segment_0,original,9768,0.11089788274562677,38.99918483324409
h=73-168,segment_0,bottom_up,9768,0.11089788274562677,38.99918483324409
h=73-168,segment_0,mint_ols,9768,0.12349407752814791,41.678754836089546
h=73-168,segment_1,original,9768,0.07572489726031893,91.67811144491056
h=73-168,segment_1,bottom_up,9768,0.07572489726031893,91.67811144491056
h=73-168,segment_1,mint_ols,9768,0.07789184123894545,93.83323146405064
h=73-168,segment_2,original,9768,0.05655189277269358,61.83804059172385
h=73-168,segment_2,bottom_up,9768,0.05655189277269358,61.83804059172385
h=73-168,segment_2,mint_ols,9768,0.05863944068958472,64.51362683466748
h=73-168,segment_3,original,9768,0.05861392186495725,58.057298861420676
h=73-168,segment_3,bottom_up,9768,0.05861392186495725,58.057298861420676
h=73-168,segment_3,mint_ols,9768,0.061633437327439776,60.68916586768031
h=24,portfolio,original,102,0.04016169498588349,116.88639686242027
h=24,portfolio,bottom_up,102,0.04272381393385721,118.38711077137027
h=24,portfolio,mint_ols,102,0.04005626982822067,115.49196310192156
h=24,segment_0,original,102,0.10435825225701288,39.11694863550308
h=24,segment_0,bottom_up,102,0.10435825225701288,39.11694863550308
h=24,segment_0,mint_ols,102,0.10429565072613711,37.649355590356244
h=24,segment_1,original,102,0.048001083942186384,37.06715627027347
h=24,segment_1,bottom_up,102,0.048001083942186384,37.06715627027347
h=24,segment_1,mint_ols,102,0.04633087308571306,37.10080637761905
h=24,segment_2,original,102,0.038467592110893775,32.90105389844748
h=24,segment_2,bottom_up,102,0.038467592110893775,32.90105389844748
h=24,segment_2,mint_ols,102,0.03715015080212394,32.82747214391592
h=24,segment_3,original,102,0.042582237231228816,40.2560844089269
h=24,segment_3,bottom_up,102,0.042582237231228816,40.2560844089269
h=24,segment_3,mint_ols,102,0.041231958500004606,39.57620588904574
h=168,portfolio,original,101,0.07395902626369948,210.7522642048697
h=168,portfolio,bottom_up,101,0.07736373423360673,215.53133816287442
h=168,portfolio,mint_ols,101,0.0742294053163272,209.785951493587
h=168,segment_0,original,101,0.16961562734037788,69.60397589478946
h=168,segment_0,bottom_up,101,0.16961562734037788,69.60397589478946
h=168,segment_0,mint_ols,101,0.16867309662841048,68.10569806406559
h=168,segment_1,original,101,0.08094532909632988,60.61522229241911
h=168,segment_1,bottom_up,101,0.08094532909632988,60.61522229241911
h=168,segment_1,mint_ols,101,0.07819955568866992,59.137807701379884
h=168,segment_2,original,101,0.05774064754316164,43.5101821803658
h=168,segment_2,bottom_up,101,0.05774064754316164,43.5101821803658
h=168,segment_2,mint_ols,101,0.056622149224276025,42.221896566745315
h=168,segment_3,original,101,0.07835125727940731,70.15920156473875
h=168,segment_3,bottom_up,101,0.07835125727940731,70.15920156473875
h=168,segment_3,mint_ols,101,0.07627828222470455,69.31890161945479
